model,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,roc_auc_weighted_ovr,high_precision,high_recall,high_f1,param_C,param_class_weight,param_solver,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators
random_forest,0.8823529411764706,0.8818543409015686,0.8823529411764706,0.882029132951404,0.8810497307440053,0.9714421249547411,0.8651685393258427,0.8461538461538461,0.8555555555555555,,,,20.0,log2,1.0,4.0,200.0
random_forest,0.8809849521203831,0.881108466862044,0.8809849521203831,0.8807072372657805,0.8810410731347194,0.9707608429422776,0.84375,0.8901098901098901,0.8663101604278075,,balanced,,20.0,sqrt,1.0,4.0,400.0
random_forest,0.8809849521203831,0.881108466862044,0.8809849521203831,0.8807072372657805,0.8810410731347194,0.9707608429422776,0.84375,0.8901098901098901,0.8663101604278075,,balanced,,20.0,log2,1.0,4.0,400.0
random_forest,0.8809849521203831,0.8809612649530546,0.8809849521203831,0.8807384679967859,0.8809750951607215,0.9722079648284139,0.8473684210526315,0.8846153846153846,0.8655913978494624,,balanced,,,sqrt,1.0,2.0,600.0
random_forest,0.8809849521203831,0.8809612649530546,0.8809849521203831,0.8807384679967859,0.8809750951607215,0.9722079648284139,0.8473684210526315,0.8846153846153846,0.8655913978494624,,balanced,,,log2,1.0,2.0,600.0
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,,sqrt,4.0,2.0,200.0
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,,sqrt,4.0,4.0,200.0
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,,sqrt,4.0,8.0,200.0
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,,log2,4.0,2.0,200.0
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,,log2,4.0,4.0,200.0
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,,log2,4.0,8.0,200.0
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,20.0,sqrt,4.0,2.0,200.0
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,20.0,sqrt,4.0,4.0,200.0
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,20.0,sqrt,4.0,8.0,200.0
